episode,total_reward,epsilon,buffer_size,keep_ratio,next_ratio,traffic_N,traffic_S,traffic_E,traffic_W
387,-1.62,0.1437,50000,0.632,0.368,391,430,934,584
388,-31.71,0.143,50000,0.493,0.507,1035,664,396,753
389,-1.12,0.1423,50000,0.588,0.412,364,461,860,746
390,-77.68,0.1416,50000,0.658,0.342,1035,1059,1119,485
391,-47.53,0.1409,50000,0.526,0.474,482,1157,714,918
392,-46.93,0.1402,50000,0.639,0.361,726,1002,1048,530
393,-56.9,0.1395,50000,0.582,0.418,660,1047,739,345
394,-14.81,0.1388,50000,0.469,0.531,407,873,627,788
395,-29.01,0.1381,50000,0.632,0.368,631,846,893,597
396,-41.16,0.1374,50000,0.599,0.401,362,1193,438,981
397,-51.42,0.1367,50000,0.556,0.444,708,604,829,948
398,-56.69,0.136,50000,0.66,0.34,872,477,1154,744
399,-24.62,0.1353,50000,0.515,0.485,682,862,626,723
400,-6.02,0.1347,50000,0.564,0.436,704,721,754,419
401,-2.49,0.134,50000,0.524,0.476,495,460,513,410
402,-7.94,0.1333,50000,0.354,0.646,479,848,487,437
403,-17.82,0.1326,50000,0.401,0.599,663,839,834,562
404,-26.83,0.132,50000,0.676,0.324,1144,616,362,613
405,-40.65,0.1313,50000,0.721,0.279,1154,395,717,811
406,-45.81,0.1307,50000,0.59,0.41,1015,300,319,1044
407,-30.06,0.13,50000,0.504,0.496,635,741,965,654
408,-48.62,0.1294,50000,0.553,0.447,843,565,352,1015
409,-4.21,0.1287,50000,0.601,0.399,608,399,763,592
410,-14.37,0.1281,50000,0.453,0.547,353,663,983,498
411,-78.98,0.1274,50000,0.65,0.35,643,1001,1055,1196
412,-67.17,0.1268,50000,0.633,0.367,568,1174,1167,1004
413,-40.4,0.1262,50000,0.669,0.331,944,321,813,815
414,-4.72,0.1255,50000,0.719,0.281,306,451,1176,948
415,-61.1,0.1249,50000,0.607,0.393,790,888,918,1146
416,-19.07,0.1243,50000,0.585,0.415,763,989,678,459
417,-41.97,0.1237,50000,0.499,0.501,1152,724,619,584
